Genome	Phagocyte-generalist prediction	Phagocyte-entamoebid prediction	Phagocyte-rozellid prediction	Prototrophy prediction	Photosynthesis prediction
0.05.1.EP00298_Acanthocystis_sp_HF-20	0.000655214503373513	0.0141612004469475	0.00676566940243339	0.000365083230169486	0.000332706619911434
0.05.10.EP00298_Acanthocystis_sp_HF-20	0.00126318653395471	0.00214169678650034	0.0199285204814272	0.000104652236202338	0.000290559200605472
0.05.11.EP00298_Acanthocystis_sp_HF-20	0.000640381471726372	0.00854083629551932	0.00533046705066112	0.000227582578085512	0.000287884821466987
0.05.12.EP00298_Acanthocystis_sp_HF-20	0.000451729299688445	0.0107256236043241	0.00443263783165908	0.000173249900485925	0.000309814077992651
0.05.13.EP00298_Acanthocystis_sp_HF-20	0.00118040974311854	0.0159510282545208	0.00918988039641774	0.000230303887401051	0.000480802059677276
0.05.14.EP00298_Acanthocystis_sp_HF-20	0.000241014442439824	0.010942583849428	0.00990921624112649	0.000331887416694079	0.000286665131862451
0.05.15.EP00298_Acanthocystis_sp_HF-20	0.000252130964662228	0.00320437961295518	0.00470364554752356	0.000210434660562558	0.000302484940532338
0.05.16.EP00298_Acanthocystis_sp_HF-20	0.000663123624219619	0.00489504569838994	0.00886765658185759	0.000454199325050821	0.000485292250462014
0.05.17.EP00298_Acanthocystis_sp_HF-20	0.000226110291178933	0.00369689470378602	0.00470028330929714	0.000152596913816732	0.00029716723106931
0.05.18.EP00298_Acanthocystis_sp_HF-20	0.000354640541829096	0.00416519427215924	0.010683858225429	0.000113772603753102	0.000290559200605472
0.05.19.EP00298_Acanthocystis_sp_HF-20	0.000289355533833825	0.00779192449061469	0.00836483993980219	0.000222935014330715	0.000287884821466987
0.05.2.EP00298_Acanthocystis_sp_HF-20	0.000583573848685516	0.0251648987526668	0.0228442682877437	0.00037594398355232	0.000290559200605472
0.05.20.EP00298_Acanthocystis_sp_HF-20	0.00272498380078306	0.0219214957253171	0.00733816579341001	0.000229666845882042	0.000330268006645109
0.05.3.EP00298_Acanthocystis_sp_HF-20	0.00118578610372077	0.00829589140303302	0.0104981999645003	0.000179543291321412	0.000320558408294954
